Round,Num.,Drafted By,Player,Pos,Drafted From,GP,G,A,Pts,PIM,Last Season
6.0,178.0,Tampa Bay,Oleg Sosunov,D,Yaroslavl Jrs (Russia),,,,,,
6.0,179.0,Toronto,Nicolas Mattinen,D,London Knights [OHL],,,,,,
6.0,180.0,San Jose,Mark Shoemaker,D,North Bay Battalion [OHL],,,,,,
6.0,181.0,Pittsburgh,Joe Masonius,D,U. of Connecticut [H-East],,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
7.0,182.0,Toronto,Nikolai Chebykin,L,MVD Jrs (Russia),,,,,,
7.0,183.0,Edmonton,Vincent Desharnais,D,Providence College [H-East],37.0,0.0,5.0,5.0,36.0,2023-24
7.0,184.0,Vancouver,Rodrigo Abols,C,Portland Winterhawks [WHL],,,,,,
7.0,185.0,Columbus,Calvin Thurkauf,C,Kelowna Rockets [WHL],3.0,0.0,0.0,0.0,0.0,2019-20
7.0,186.0,Calgary,Stepan Falkovsky,D,Ottawa 67's [OHL],,,,,,
7.0,187.0,Montreal,Arvid Henrikson,D,AIK Jrs (Sweden),,,,,,
7.0,188.0,Arizona,Dean Stewart,D,Portage Terriers [MJHL],,,,,,
7.0,189.0,Buffalo,Austin Osmanski,D,Mississauga Steelheads [OHL],,,,,,
7.0,190.0,Buffalo,Vasili Glotov,C,SKA Jrs (Russia),,,,,,
7.0,191.0,Colorado,Travis Barron,L,Ottawa 67's [OHL],,,,,,
7.0,192.0,New Jersey,Jeremy Davies,D,Bloomington Thunder [USHL],23.0,0.0,3.0,3.0,12.0,2022-23
7.0,193.0,NY Islanders,Nick Pastujov,L,U.S. National Development Team [USHL],,,,,,
7.0,194.0,Vancouver,Brett McKenzie,L,North Bay Battalion [OHL],,,,,,
7.0,195.0,Florida,Benjamin Finkelstein,D,Kimball Union (H.S.),,,,,,
7.0,196.0,Minnesota,Dmitry Sokolov,R,Sudbury Wolves [OHL],,,,,,
